city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id,CONTINENT
Rijeka,Rijeka,45.3333,14.4333,Croatia,HR,HRV,Primorsko-Goranska Županija,admin,107964,1191949063,E
Basingstoke,Basingstoke,51.2667,-1.0876,United Kingdom,GB,GBR,Hampshire,,107355,1826924980,E
Argenteuil,Argenteuil,48.9478,2.2489,France,FR,FRA,Île-de-France,minor,107135,1250226887,E
Emmen,Emmen,52.7833,6.9,Netherlands,NL,NLD,Drenthe,minor,107024,1528332075,E
Crawley,Crawley,51.1092,-0.1872,United Kingdom,GB,GBR,West Sussex,,106597,1826470693,E
Terni,Terni,42.5667,12.65,Italy,IT,ITA,Umbria,minor,106370,1380323915,E
Berdiansk,Berdiansk,46.7556,36.7889,Ukraine,UA,UKR,Zaporizka Oblast,minor,106311,1804599785,E
Tarnów,Tarnow,50.0125,20.9886,Poland,PL,POL,Małopolskie,minor,106259,1616375879,E
Dagenham,Dagenham,51.5397,0.1422,United Kingdom,GB,GBR,Barking and Dagenham,,106247,1826363543,E
Bolzano,Bolzano,46.4981,11.3548,Italy,IT,ITA,Trentino-Alto Adige,minor,106107,1380677819,E
Koszalin,Koszalin,54.2,16.1833,Poland,PL,POL,Zachodniopomorskie,minor,105883,1616258002,E
Funchal,Funchal,32.65,-16.9167,Portugal,PT,PRT,Madeira,admin,105795,1620995356,E
Yevpatoriia,Yevpatoriia,45.1939,33.3681,Ukraine,UA,UKR,"Krym, Avtonomna Respublika",minor,105719,1804279364,E
Moers,Moers,51.4592,6.6197,Germany,DE,DEU,North Rhine-Westphalia,,105606,1276257182,E
Šabac,Sabac,44.7558,19.6939,Serbia,RS,SRB,Šabac,admin,105432,1688640421,E
Nikopol,Nikopol,47.5667,34.4,Ukraine,UA,UKR,Dnipropetrovska Oblast,minor,105160,1804000135,E
Sloviansk,Sloviansk,48.8533,37.625,Ukraine,UA,UKR,Donetska Oblast,,105141,1804877044,E
Salzgitter,Salzgitter,52.15,10.3333,Germany,DE,DEU,Lower Saxony,minor,105039,1276613066,E
Mulhouse,Mulhouse,47.75,7.34,France,FR,FRA,Grand Est,minor,104924,1250218452,E
Ourense,Ourense,42.3364,-7.8633,Spain,ES,ESP,Galicia,minor,104891,1724571895,E
Włocławek,Wloclawek,52.6592,19.0681,Poland,PL,POL,Kujawsko-Pomorskie,minor,104705,1616143097,E
Wałbrzych,Walbrzych,50.7667,16.2833,Poland,PL,POL,Dolnośląskie,minor,104401,1616162263,E
Nancy,Nancy,48.6936,6.1846,France,FR,FRA,Grand Est,minor,104387,1250925250,E
Šiauliai,Siauliai,55.9281,23.3167,Lithuania,LT,LTU,Šiaulių Miestas,admin,104300,1440593416,E
Chorzów,Chorzow,50.3,18.95,Poland,PL,POL,Śląskie,minor,104193,1616517871,E
Gillingham,Gillingham,51.385,0.55,United Kingdom,GB,GBR,Medway,,104157,1826642243,E
Halifax,Halifax,53.725,-1.863,United Kingdom,GB,GBR,Calderdale,,104100,1826413776,E
Salford,Salford,53.483,-2.2931,United Kingdom,GB,GBR,Salford,,103886,1826868550,E
Wigan,Wigan,53.5448,-2.6318,United Kingdom,GB,GBR,Wigan,,103608,1826902223,E
Roncaglia,Roncaglia,45.0437,9.7957,Italy,IT,ITA,Emilia-Romagna,,103607,1380458833,E
